[2026-01-25T19:00:03.735+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: the_graph_uniswap_v3_swaps.fetch_and_store_swaps scheduled__2026-01-25T18:00:00+00:00 [queued]>
[2026-01-25T19:00:03.741+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: the_graph_uniswap_v3_swaps.fetch_and_store_swaps scheduled__2026-01-25T18:00:00+00:00 [queued]>
[2026-01-25T19:00:03.742+0000] {taskinstance.py:2170} INFO - Starting attempt 1 of 2
[2026-01-25T19:00:03.755+0000] {taskinstance.py:2191} INFO - Executing <Task(PythonOperator): fetch_and_store_swaps> on 2026-01-25 18:00:00+00:00
[2026-01-25T19:00:03.762+0000] {standard_task_runner.py:60} INFO - Started process 30036 to run task
[2026-01-25T19:00:03.767+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'the_graph_uniswap_v3_swaps', 'fetch_and_store_swaps', 'scheduled__2026-01-25T18:00:00+00:00', '--job-id', '28', '--raw', '--subdir', 'DAGS_FOLDER/the_graph_uniswap_v3_swaps_dag.py', '--cfg-path', '/tmp/tmprzi_77hm']
[2026-01-25T19:00:03.771+0000] {standard_task_runner.py:88} INFO - Job 28: Subtask fetch_and_store_swaps
[2026-01-25T19:00:03.837+0000] {task_command.py:423} INFO - Running <TaskInstance: the_graph_uniswap_v3_swaps.fetch_and_store_swaps scheduled__2026-01-25T18:00:00+00:00 [running]> on host f2da44f39545
[2026-01-25T19:00:42.156+0000] {logging_mixin.py:188} INFO - [19:00:42] Fetched 1000 swaps from token0_in (Total: 19000)
[2026-01-25T19:00:44.058+0000] {logging_mixin.py:188} INFO - [19:00:44] Fetched 1000 swaps from token0_in (Total: 20000)
[2026-01-25T19:00:45.863+0000] {logging_mixin.py:188} INFO - [19:00:45] Fetched 1000 swaps from token0_in (Total: 21000)
[2026-01-25T19:00:47.745+0000] {logging_mixin.py:188} INFO - [19:00:47] Fetched 1000 swaps from token0_in (Total: 22000)
[2026-01-25T19:00:49.861+0000] {logging_mixin.py:188} INFO - [19:00:49] Fetched 1000 swaps from token0_in (Total: 23000)
[2026-01-25T19:00:51.725+0000] {logging_mixin.py:188} INFO - [19:00:51] Fetched 1000 swaps from token0_in (Total: 24000)
[2026-01-25T19:00:53.859+0000] {logging_mixin.py:188} INFO - [19:00:53] Fetched 1000 swaps from token0_in (Total: 25000)
[2026-01-25T19:00:56.219+0000] {logging_mixin.py:188} INFO - [19:00:56] Fetched 1000 swaps from token0_in (Total: 26000)
[2026-01-25T19:00:58.475+0000] {logging_mixin.py:188} INFO - [19:00:58] Fetched 1000 swaps from token0_in (Total: 27000)
[2026-01-25T19:01:00.698+0000] {logging_mixin.py:188} INFO - [19:01:00] Fetched 1000 swaps from token0_in (Total: 28000)
[2026-01-25T19:01:03.183+0000] {logging_mixin.py:188} INFO - [19:01:03] Fetched 1000 swaps from token0_in (Total: 29000)
[2026-01-25T19:01:05.918+0000] {logging_mixin.py:188} INFO - [19:01:05] Fetched 1000 swaps from token0_in (Total: 30000)
[2026-01-25T19:01:08.517+0000] {logging_mixin.py:188} INFO - [19:01:08] Fetched 1000 swaps from token0_in (Total: 31000)
[2026-01-25T19:01:10.676+0000] {logging_mixin.py:188} INFO - [19:01:10] Fetched 1000 swaps from token0_in (Total: 32000)
[2026-01-25T19:01:12.623+0000] {logging_mixin.py:188} INFO - [19:01:12] Fetched 1000 swaps from token0_in (Total: 33000)
[2026-01-25T19:01:14.428+0000] {logging_mixin.py:188} INFO - [19:01:14] Fetched 1000 swaps from token0_in (Total: 34000)
[2026-01-25T19:01:16.868+0000] {logging_mixin.py:188} INFO - [19:01:16] Fetched 1000 swaps from token0_in (Total: 35000)
[2026-01-25T19:01:19.369+0000] {logging_mixin.py:188} INFO - [19:01:19] Fetched 1000 swaps from token0_in (Total: 36000)
[2026-01-25T19:01:21.123+0000] {logging_mixin.py:188} INFO - [19:01:21] Fetched 1000 swaps from token0_in (Total: 37000)
[2026-01-25T19:01:22.977+0000] {logging_mixin.py:188} INFO - [19:01:22] Fetched 1000 swaps from token0_in (Total: 38000)
[2026-01-25T19:01:24.748+0000] {logging_mixin.py:188} INFO - [19:01:24] Fetched 1000 swaps from token0_in (Total: 39000)
[2026-01-25T19:01:26.646+0000] {logging_mixin.py:188} INFO - [19:01:26] Fetched 1000 swaps from token0_in (Total: 40000)
[2026-01-25T19:01:28.422+0000] {logging_mixin.py:188} INFO - [19:01:28] Fetched 1000 swaps from token0_in (Total: 41000)
[2026-01-25T19:01:30.209+0000] {logging_mixin.py:188} INFO - [19:01:30] Fetched 1000 swaps from token0_in (Total: 42000)
[2026-01-25T19:01:32.353+0000] {logging_mixin.py:188} INFO - [19:01:32] Fetched 1000 swaps from token0_in (Total: 43000)
[2026-01-25T19:01:34.234+0000] {logging_mixin.py:188} INFO - [19:01:34] Fetched 1000 swaps from token0_in (Total: 44000)
[2026-01-25T19:01:36.038+0000] {logging_mixin.py:188} INFO - [19:01:36] Fetched 1000 swaps from token0_in (Total: 45000)
[2026-01-25T19:01:38.243+0000] {logging_mixin.py:188} INFO - [19:01:38] Fetched 1000 swaps from token0_in (Total: 46000)
[2026-01-25T19:01:40.994+0000] {logging_mixin.py:188} INFO - [19:01:40] Fetched 1000 swaps from token0_in (Total: 47000)
[2026-01-25T19:01:43.759+0000] {logging_mixin.py:188} INFO - [19:01:43] Fetched 1000 swaps from token0_in (Total: 48000)
[2026-01-25T19:01:46.473+0000] {logging_mixin.py:188} INFO - [19:01:46] Fetched 1000 swaps from token0_in (Total: 49000)
[2026-01-25T19:01:48.496+0000] {logging_mixin.py:188} INFO - [19:01:48] Fetched 1000 swaps from token0_in (Total: 50000)
[2026-01-25T19:01:50.638+0000] {logging_mixin.py:188} INFO - [19:01:50] Fetched 1000 swaps from token0_in (Total: 51000)
[2026-01-25T19:01:52.568+0000] {logging_mixin.py:188} INFO - [19:01:52] Fetched 1000 swaps from token0_in (Total: 52000)
[2026-01-25T19:01:54.557+0000] {logging_mixin.py:188} INFO - [19:01:54] Fetched 1000 swaps from token0_in (Total: 53000)
[2026-01-25T19:01:56.617+0000] {logging_mixin.py:188} INFO - [19:01:56] Fetched 1000 swaps from token0_in (Total: 54000)
[2026-01-25T19:01:58.538+0000] {logging_mixin.py:188} INFO - [19:01:58] Fetched 1000 swaps from token0_in (Total: 55000)
[2026-01-25T19:02:00.302+0000] {logging_mixin.py:188} INFO - [19:02:00] Fetched 1000 swaps from token0_in (Total: 56000)
[2026-01-25T19:02:02.122+0000] {logging_mixin.py:188} INFO - [19:02:02] Fetched 1000 swaps from token0_in (Total: 57000)
[2026-01-25T19:02:04.090+0000] {logging_mixin.py:188} INFO - [19:02:04] Fetched 1000 swaps from token0_in (Total: 58000)
[2026-01-25T19:02:06.970+0000] {logging_mixin.py:188} INFO - [19:02:06] Fetched 1000 swaps from token0_in (Total: 59000)
[2026-01-25T19:02:08.219+0000] {logging_mixin.py:188} INFO - [19:02:08] Fetched 1000 swaps from token0_in (Total: 60000)
[2026-01-25T19:02:10.192+0000] {logging_mixin.py:188} INFO - [19:02:10] Fetched 1000 swaps from token0_in (Total: 61000)
[2026-01-25T19:02:12.177+0000] {logging_mixin.py:188} INFO - [19:02:12] Fetched 1000 swaps from token0_in (Total: 62000)
[2026-01-25T19:02:14.195+0000] {logging_mixin.py:188} INFO - [19:02:14] Fetched 1000 swaps from token0_in (Total: 63000)
[2026-01-25T19:02:16.966+0000] {logging_mixin.py:188} INFO - [19:02:16] Fetched 1000 swaps from token0_in (Total: 64000)
[2026-01-25T19:02:19.699+0000] {logging_mixin.py:188} INFO - [19:02:19] Fetched 1000 swaps from token0_in (Total: 65000)
[2026-01-25T19:02:21.874+0000] {logging_mixin.py:188} INFO - [19:02:21] Fetched 1000 swaps from token0_in (Total: 66000)
[2026-01-25T19:02:24.078+0000] {logging_mixin.py:188} INFO - [19:02:24] Fetched 1000 swaps from token0_in (Total: 67000)
[2026-01-25T19:02:25.852+0000] {logging_mixin.py:188} INFO - [19:02:25] Fetched 1000 swaps from token0_in (Total: 68000)
[2026-01-25T19:02:28.805+0000] {logging_mixin.py:188} INFO - [19:02:28] Fetched 1000 swaps from token0_in (Total: 69000)
[2026-01-25T19:02:30.727+0000] {logging_mixin.py:188} INFO - [19:02:30] Fetched 1000 swaps from token0_in (Total: 70000)
[2026-01-25T19:02:32.551+0000] {logging_mixin.py:188} INFO - [19:02:32] Fetched 1000 swaps from token0_in (Total: 71000)
[2026-01-25T19:02:34.378+0000] {logging_mixin.py:188} INFO - [19:02:34] Fetched 1000 swaps from token0_in (Total: 72000)
[2026-01-25T19:02:36.102+0000] {logging_mixin.py:188} INFO - [19:02:36] Fetched 1000 swaps from token0_in (Total: 73000)
[2026-01-25T19:02:37.885+0000] {logging_mixin.py:188} INFO - [19:02:37] Fetched 1000 swaps from token0_in (Total: 74000)
[2026-01-25T19:02:39.831+0000] {logging_mixin.py:188} INFO - [19:02:39] Fetched 1000 swaps from token0_in (Total: 75000)
[2026-01-25T19:02:41.525+0000] {logging_mixin.py:188} INFO - [19:02:41] Fetched 1000 swaps from token0_in (Total: 76000)
[2026-01-25T19:02:43.430+0000] {logging_mixin.py:188} INFO - [19:02:43] Fetched 1000 swaps from token0_in (Total: 77000)
[2026-01-25T19:02:45.220+0000] {logging_mixin.py:188} INFO - [19:02:45] Fetched 1000 swaps from token0_in (Total: 78000)
[2026-01-25T19:02:47.015+0000] {logging_mixin.py:188} INFO - [19:02:47] Fetched 1000 swaps from token0_in (Total: 79000)
[2026-01-25T19:02:48.733+0000] {logging_mixin.py:188} INFO - [19:02:48] Fetched 1000 swaps from token0_in (Total: 80000)
[2026-01-25T19:02:50.571+0000] {logging_mixin.py:188} INFO - [19:02:50] Fetched 1000 swaps from token0_in (Total: 81000)
[2026-01-25T19:02:52.183+0000] {logging_mixin.py:188} INFO - [19:02:52] Fetched 1000 swaps from token0_in (Total: 82000)
[2026-01-25T19:02:54.080+0000] {logging_mixin.py:188} INFO - [19:02:54] Fetched 1000 swaps from token0_in (Total: 83000)
[2026-01-25T19:02:55.769+0000] {logging_mixin.py:188} INFO - [19:02:55] Fetched 1000 swaps from token0_in (Total: 84000)
[2026-01-25T19:02:57.778+0000] {logging_mixin.py:188} INFO - [19:02:57] Fetched 1000 swaps from token0_in (Total: 85000)
[2026-01-25T19:02:59.720+0000] {logging_mixin.py:188} INFO - [19:02:59] Fetched 1000 swaps from token0_in (Total: 86000)
[2026-01-25T19:03:01.649+0000] {logging_mixin.py:188} INFO - [19:03:01] Fetched 1000 swaps from token0_in (Total: 87000)
[2026-01-25T19:03:03.719+0000] {logging_mixin.py:188} INFO - [19:03:03] Fetched 1000 swaps from token0_in (Total: 88000)
[2026-01-25T19:03:05.562+0000] {logging_mixin.py:188} INFO - [19:03:05] Fetched 1000 swaps from token0_in (Total: 89000)
[2026-01-25T19:03:07.048+0000] {logging_mixin.py:188} INFO - [19:03:07] Fetched 1000 swaps from token0_in (Total: 90000)
[2026-01-25T19:03:09.478+0000] {logging_mixin.py:188} INFO - [19:03:09] Fetched 1000 swaps from token0_in (Total: 91000)
[2026-01-25T19:03:11.632+0000] {logging_mixin.py:188} INFO - [19:03:11] Fetched 1000 swaps from token0_in (Total: 92000)
[2026-01-25T19:03:13.612+0000] {logging_mixin.py:188} INFO - [19:03:13] Fetched 1000 swaps from token0_in (Total: 93000)
[2026-01-25T19:03:15.470+0000] {logging_mixin.py:188} INFO - [19:03:15] Fetched 1000 swaps from token0_in (Total: 94000)
[2026-01-25T19:03:17.146+0000] {logging_mixin.py:188} INFO - [19:03:17] Fetched 1000 swaps from token0_in (Total: 95000)
[2026-01-25T19:03:18.941+0000] {logging_mixin.py:188} INFO - [19:03:18] Fetched 1000 swaps from token0_in (Total: 96000)
[2026-01-25T19:03:20.841+0000] {logging_mixin.py:188} INFO - [19:03:20] Fetched 1000 swaps from token0_in (Total: 97000)
[2026-01-25T19:03:22.448+0000] {logging_mixin.py:188} INFO - [19:03:22] Fetched 1000 swaps from token0_in (Total: 98000)
[2026-01-25T19:03:24.242+0000] {logging_mixin.py:188} INFO - [19:03:24] Fetched 1000 swaps from token0_in (Total: 99000)
[2026-01-25T19:03:25.965+0000] {logging_mixin.py:188} INFO - [19:03:25] Fetched 1000 swaps from token0_in (Total: 100000)
[2026-01-25T19:03:27.390+0000] {logging_mixin.py:188} INFO - [19:03:27] Fetched 1000 swaps from token0_in (Total: 101000)
[2026-01-25T19:03:30.177+0000] {logging_mixin.py:188} INFO - [19:03:30] Fetched 1000 swaps from token0_in (Total: 102000)
[2026-01-25T19:03:32.106+0000] {logging_mixin.py:188} INFO - [19:03:32] Fetched 1000 swaps from token0_in (Total: 103000)
[2026-01-25T19:03:34.019+0000] {logging_mixin.py:188} INFO - [19:03:34] Fetched 1000 swaps from token0_in (Total: 104000)
[2026-01-25T19:03:36.060+0000] {logging_mixin.py:188} INFO - [19:03:36] Fetched 1000 swaps from token0_in (Total: 105000)
[2026-01-25T19:03:37.858+0000] {logging_mixin.py:188} INFO - [19:03:37] Fetched 1000 swaps from token0_in (Total: 106000)
[2026-01-25T19:03:40.077+0000] {logging_mixin.py:188} INFO - [19:03:40] Fetched 1000 swaps from token0_in (Total: 107000)
[2026-01-25T19:03:41.948+0000] {logging_mixin.py:188} INFO - [19:03:41] Fetched 1000 swaps from token0_in (Total: 108000)
[2026-01-25T19:03:43.585+0000] {logging_mixin.py:188} INFO - [19:03:43] Fetched 1000 swaps from token0_in (Total: 109000)
[2026-01-25T19:03:45.596+0000] {logging_mixin.py:188} INFO - [19:03:45] Fetched 1000 swaps from token0_in (Total: 110000)
[2026-01-25T19:03:47.537+0000] {logging_mixin.py:188} INFO - [19:03:47] Fetched 1000 swaps from token0_in (Total: 111000)
[2026-01-25T19:03:49.616+0000] {logging_mixin.py:188} INFO - [19:03:49] Fetched 1000 swaps from token0_in (Total: 112000)
[2026-01-25T19:03:51.245+0000] {logging_mixin.py:188} INFO - [19:03:51] Fetched 1000 swaps from token0_in (Total: 113000)
[2026-01-25T19:03:52.886+0000] {logging_mixin.py:188} INFO - [19:03:52] Fetched 1000 swaps from token0_in (Total: 114000)
[2026-01-25T19:03:55.240+0000] {logging_mixin.py:188} INFO - [19:03:55] Fetched 1000 swaps from token0_in (Total: 115000)
[2026-01-25T19:03:56.421+0000] {logging_mixin.py:188} INFO - [19:03:56] Fetched 1000 swaps from token0_in (Total: 116000)
[2026-01-25T19:03:58.018+0000] {logging_mixin.py:188} INFO - [19:03:58] Fetched 1000 swaps from token0_in (Total: 117000)
[2026-01-25T19:03:59.759+0000] {logging_mixin.py:188} INFO - [19:03:59] Fetched 1000 swaps from token0_in (Total: 118000)
[2026-01-25T19:04:01.887+0000] {logging_mixin.py:188} INFO - [19:04:01] Fetched 1000 swaps from token0_in (Total: 119000)
[2026-01-25T19:04:03.739+0000] {logging_mixin.py:188} INFO - [19:04:03] Fetched 1000 swaps from token0_in (Total: 120000)
[2026-01-25T19:04:05.702+0000] {logging_mixin.py:188} INFO - [19:04:05] Fetched 1000 swaps from token0_in (Total: 121000)
[2026-01-25T19:04:07.902+0000] {logging_mixin.py:188} INFO - [19:04:07] Fetched 1000 swaps from token0_in (Total: 122000)
[2026-01-25T19:04:09.818+0000] {logging_mixin.py:188} INFO - [19:04:09] Fetched 1000 swaps from token0_in (Total: 123000)
[2026-01-25T19:04:12.246+0000] {logging_mixin.py:188} INFO - [19:04:12] Fetched 1000 swaps from token0_in (Total: 124000)
[2026-01-25T19:04:14.330+0000] {logging_mixin.py:188} INFO - [19:04:14] Fetched 1000 swaps from token0_in (Total: 125000)
[2026-01-25T19:04:16.782+0000] {logging_mixin.py:188} INFO - [19:04:16] Fetched 1000 swaps from token0_in (Total: 126000)
[2026-01-25T19:04:18.980+0000] {logging_mixin.py:188} INFO - [19:04:18] Fetched 1000 swaps from token0_in (Total: 127000)
[2026-01-25T19:04:21.028+0000] {logging_mixin.py:188} INFO - [19:04:21] Fetched 1000 swaps from token0_in (Total: 128000)
[2026-01-25T19:04:22.804+0000] {logging_mixin.py:188} INFO - [19:04:22] Fetched 1000 swaps from token0_in (Total: 129000)
[2026-01-25T19:04:24.780+0000] {logging_mixin.py:188} INFO - [19:04:24] Fetched 1000 swaps from token0_in (Total: 130000)
[2026-01-25T19:04:26.674+0000] {logging_mixin.py:188} INFO - [19:04:26] Fetched 1000 swaps from token0_in (Total: 131000)
[2026-01-25T19:04:28.857+0000] {logging_mixin.py:188} INFO - [19:04:28] Fetched 1000 swaps from token0_in (Total: 132000)
[2026-01-25T19:04:30.655+0000] {logging_mixin.py:188} INFO - [19:04:30] Fetched 1000 swaps from token0_in (Total: 133000)
[2026-01-25T19:04:32.809+0000] {logging_mixin.py:188} INFO - [19:04:32] Fetched 1000 swaps from token0_in (Total: 134000)
[2026-01-25T19:04:35.293+0000] {logging_mixin.py:188} INFO - [19:04:35] Fetched 1000 swaps from token0_in (Total: 135000)
[2026-01-25T19:04:37.527+0000] {logging_mixin.py:188} INFO - [19:04:37] Fetched 1000 swaps from token0_in (Total: 136000)
[2026-01-25T19:04:39.803+0000] {logging_mixin.py:188} INFO - [19:04:39] Fetched 1000 swaps from token0_in (Total: 137000)
[2026-01-25T19:04:41.778+0000] {logging_mixin.py:188} INFO - [19:04:41] Fetched 1000 swaps from token0_in (Total: 138000)
[2026-01-25T19:04:43.646+0000] {logging_mixin.py:188} INFO - [19:04:43] Fetched 1000 swaps from token0_in (Total: 139000)
[2026-01-25T19:04:45.972+0000] {logging_mixin.py:188} INFO - [19:04:45] Fetched 1000 swaps from token0_in (Total: 140000)
[2026-01-25T19:04:47.722+0000] {logging_mixin.py:188} INFO - [19:04:47] Fetched 1000 swaps from token0_in (Total: 141000)
[2026-01-25T19:04:49.836+0000] {logging_mixin.py:188} INFO - [19:04:49] Fetched 1000 swaps from token0_in (Total: 142000)
[2026-01-25T19:04:52.039+0000] {logging_mixin.py:188} INFO - [19:04:52] Fetched 1000 swaps from token0_in (Total: 143000)
[2026-01-25T19:04:53.964+0000] {logging_mixin.py:188} INFO - [19:04:53] Fetched 1000 swaps from token0_in (Total: 144000)
[2026-01-25T19:04:55.841+0000] {logging_mixin.py:188} INFO - [19:04:55] Fetched 1000 swaps from token0_in (Total: 145000)
[2026-01-25T19:04:57.864+0000] {logging_mixin.py:188} INFO - [19:04:57] Fetched 1000 swaps from token0_in (Total: 146000)
[2026-01-25T19:05:00.940+0000] {logging_mixin.py:188} INFO - [19:05:00] Fetched 1000 swaps from token0_in (Total: 147000)
[2026-01-25T19:05:02.033+0000] {logging_mixin.py:188} INFO - [19:05:02] Fetched 1000 swaps from token0_in (Total: 148000)
[2026-01-25T19:05:04.038+0000] {logging_mixin.py:188} INFO - [19:05:04] Fetched 1000 swaps from token0_in (Total: 149000)
[2026-01-25T19:05:06.651+0000] {logging_mixin.py:188} INFO - [19:05:06] Fetched 1000 swaps from token0_in (Total: 150000)
[2026-01-25T19:05:08.634+0000] {logging_mixin.py:188} INFO - [19:05:08] Fetched 1000 swaps from token0_in (Total: 151000)
[2026-01-25T19:05:10.859+0000] {logging_mixin.py:188} INFO - [19:05:10] Fetched 1000 swaps from token0_in (Total: 152000)
[2026-01-25T19:05:13.458+0000] {logging_mixin.py:188} INFO - [19:05:13] Fetched 1000 swaps from token0_in (Total: 153000)
[2026-01-25T19:05:14.853+0000] {logging_mixin.py:188} INFO - [19:05:14] Fetched 1000 swaps from token0_in (Total: 154000)
[2026-01-25T19:05:16.809+0000] {logging_mixin.py:188} INFO - [19:05:16] Fetched 1000 swaps from token0_in (Total: 155000)
[2026-01-25T19:05:18.913+0000] {logging_mixin.py:188} INFO - [19:05:18] Fetched 1000 swaps from token0_in (Total: 156000)
[2026-01-25T19:05:21.213+0000] {logging_mixin.py:188} INFO - [19:05:21] Fetched 1000 swaps from token0_in (Total: 157000)
[2026-01-25T19:05:23.814+0000] {logging_mixin.py:188} INFO - [19:05:23] Fetched 1000 swaps from token0_in (Total: 158000)
[2026-01-25T19:05:27.117+0000] {logging_mixin.py:188} INFO - [19:05:27] Fetched 1000 swaps from token0_in (Total: 159000)
[2026-01-25T19:05:29.568+0000] {logging_mixin.py:188} INFO - [19:05:29] Fetched 1000 swaps from token0_in (Total: 160000)
[2026-01-25T19:05:32.283+0000] {logging_mixin.py:188} INFO - [19:05:32] Fetched 1000 swaps from token0_in (Total: 161000)
[2026-01-25T19:05:34.058+0000] {logging_mixin.py:188} INFO - [19:05:34] Fetched 1000 swaps from token0_in (Total: 162000)
[2026-01-25T19:05:35.886+0000] {logging_mixin.py:188} INFO - [19:05:35] Fetched 1000 swaps from token0_in (Total: 163000)
[2026-01-25T19:05:37.983+0000] {logging_mixin.py:188} INFO - [19:05:37] Fetched 1000 swaps from token0_in (Total: 164000)
[2026-01-25T19:05:40.110+0000] {logging_mixin.py:188} INFO - [19:05:40] Fetched 1000 swaps from token0_in (Total: 165000)
[2026-01-25T19:05:42.312+0000] {logging_mixin.py:188} INFO - [19:05:42] Fetched 1000 swaps from token0_in (Total: 166000)
[2026-01-25T19:05:44.218+0000] {logging_mixin.py:188} INFO - [19:05:44] Fetched 1000 swaps from token0_in (Total: 167000)
[2026-01-25T19:05:46.845+0000] {logging_mixin.py:188} INFO - [19:05:46] Fetched 1000 swaps from token0_in (Total: 168000)
[2026-01-25T19:05:49.172+0000] {logging_mixin.py:188} INFO - [19:05:49] Fetched 1000 swaps from token0_in (Total: 169000)
[2026-01-25T19:05:51.209+0000] {logging_mixin.py:188} INFO - [19:05:51] Fetched 1000 swaps from token0_in (Total: 170000)
[2026-01-25T19:05:53.322+0000] {logging_mixin.py:188} INFO - [19:05:53] Fetched 1000 swaps from token0_in (Total: 171000)
[2026-01-25T19:05:55.662+0000] {logging_mixin.py:188} INFO - [19:05:55] Fetched 1000 swaps from token0_in (Total: 172000)
[2026-01-25T19:05:58.092+0000] {logging_mixin.py:188} INFO - [19:05:58] Fetched 1000 swaps from token0_in (Total: 173000)
[2026-01-25T19:06:00.083+0000] {logging_mixin.py:188} INFO - [19:06:00] Fetched 1000 swaps from token0_in (Total: 174000)
[2026-01-25T19:06:02.373+0000] {logging_mixin.py:188} INFO - [19:06:02] Fetched 1000 swaps from token0_in (Total: 175000)
[2026-01-25T19:06:04.183+0000] {logging_mixin.py:188} INFO - [19:06:04] Fetched 1000 swaps from token0_in (Total: 176000)
[2026-01-25T19:06:06.124+0000] {logging_mixin.py:188} INFO - [19:06:06] Fetched 1000 swaps from token0_in (Total: 177000)
[2026-01-25T19:06:07.904+0000] {logging_mixin.py:188} INFO - [19:06:07] Fetched 1000 swaps from token0_in (Total: 178000)
[2026-01-25T19:06:09.795+0000] {logging_mixin.py:188} INFO - [19:06:09] Fetched 1000 swaps from token0_in (Total: 179000)
[2026-01-25T19:06:11.935+0000] {logging_mixin.py:188} INFO - [19:06:11] Fetched 1000 swaps from token0_in (Total: 180000)
