[2026-01-25T18:09:01.064+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: the_graph_uniswap_v3_swaps.fetch_and_store_swaps scheduled__2026-01-25T16:00:00+00:00 [queued]>
[2026-01-25T18:09:01.076+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: the_graph_uniswap_v3_swaps.fetch_and_store_swaps scheduled__2026-01-25T16:00:00+00:00 [queued]>
[2026-01-25T18:09:01.077+0000] {taskinstance.py:2170} INFO - Starting attempt 2 of 2
[2026-01-25T18:09:01.096+0000] {taskinstance.py:2191} INFO - Executing <Task(PythonOperator): fetch_and_store_swaps> on 2026-01-25 16:00:00+00:00
[2026-01-25T18:09:01.113+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'the_graph_uniswap_v3_swaps', 'fetch_and_store_swaps', 'scheduled__2026-01-25T16:00:00+00:00', '--job-id', '24', '--raw', '--subdir', 'DAGS_FOLDER/the_graph_uniswap_v3_swaps_dag.py', '--cfg-path', '/tmp/tmpqw68qu3y']
[2026-01-25T18:09:01.111+0000] {standard_task_runner.py:60} INFO - Started process 60521 to run task
[2026-01-25T18:09:01.116+0000] {standard_task_runner.py:88} INFO - Job 24: Subtask fetch_and_store_swaps
[2026-01-25T18:09:01.199+0000] {task_command.py:423} INFO - Running <TaskInstance: the_graph_uniswap_v3_swaps.fetch_and_store_swaps scheduled__2026-01-25T16:00:00+00:00 [running]> on host f2da44f39545
[2026-01-25T18:10:23.704+0000] {logging_mixin.py:188} INFO - [18:10:23] Fetched 1000 swaps from token0_in (Total: 44000)
[2026-01-25T18:10:25.430+0000] {logging_mixin.py:188} INFO - [18:10:25] Fetched 1000 swaps from token0_in (Total: 45000)
[2026-01-25T18:10:27.397+0000] {logging_mixin.py:188} INFO - [18:10:27] Fetched 1000 swaps from token0_in (Total: 46000)
[2026-01-25T18:10:29.243+0000] {logging_mixin.py:188} INFO - [18:10:29] Fetched 1000 swaps from token0_in (Total: 47000)
[2026-01-25T18:10:31.043+0000] {logging_mixin.py:188} INFO - [18:10:31] Fetched 1000 swaps from token0_in (Total: 48000)
[2026-01-25T18:10:32.990+0000] {logging_mixin.py:188} INFO - [18:10:32] Fetched 1000 swaps from token0_in (Total: 49000)
[2026-01-25T18:10:35.028+0000] {logging_mixin.py:188} INFO - [18:10:35] Fetched 1000 swaps from token0_in (Total: 50000)
[2026-01-25T18:10:36.852+0000] {logging_mixin.py:188} INFO - [18:10:36] Fetched 1000 swaps from token0_in (Total: 51000)
[2026-01-25T18:10:38.894+0000] {logging_mixin.py:188} INFO - [18:10:38] Fetched 1000 swaps from token0_in (Total: 52000)
[2026-01-25T18:10:41.183+0000] {logging_mixin.py:188} INFO - [18:10:41] Fetched 1000 swaps from token0_in (Total: 53000)
[2026-01-25T18:10:42.941+0000] {logging_mixin.py:188} INFO - [18:10:42] Fetched 1000 swaps from token0_in (Total: 54000)
[2026-01-25T18:10:44.917+0000] {logging_mixin.py:188} INFO - [18:10:44] Fetched 1000 swaps from token0_in (Total: 55000)
[2026-01-25T18:10:46.842+0000] {logging_mixin.py:188} INFO - [18:10:46] Fetched 1000 swaps from token0_in (Total: 56000)
[2026-01-25T18:10:48.652+0000] {logging_mixin.py:188} INFO - [18:10:48] Fetched 1000 swaps from token0_in (Total: 57000)
[2026-01-25T18:10:50.544+0000] {logging_mixin.py:188} INFO - [18:10:50] Fetched 1000 swaps from token0_in (Total: 58000)
[2026-01-25T18:10:54.185+0000] {logging_mixin.py:188} INFO - [18:10:54] Fetched 1000 swaps from token0_in (Total: 59000)
[2026-01-25T18:10:55.349+0000] {logging_mixin.py:188} INFO - [18:10:55] Fetched 1000 swaps from token0_in (Total: 60000)
[2026-01-25T18:10:56.920+0000] {logging_mixin.py:188} INFO - [18:10:56] Fetched 1000 swaps from token0_in (Total: 61000)
[2026-01-25T18:10:58.843+0000] {logging_mixin.py:188} INFO - [18:10:58] Fetched 1000 swaps from token0_in (Total: 62000)
[2026-01-25T18:11:01.002+0000] {logging_mixin.py:188} INFO - [18:11:01] Fetched 1000 swaps from token0_in (Total: 63000)
[2026-01-25T18:11:03.089+0000] {logging_mixin.py:188} INFO - [18:11:03] Fetched 1000 swaps from token0_in (Total: 64000)
[2026-01-25T18:11:04.922+0000] {logging_mixin.py:188} INFO - [18:11:04] Fetched 1000 swaps from token0_in (Total: 65000)
[2026-01-25T18:11:06.822+0000] {logging_mixin.py:188} INFO - [18:11:06] Fetched 1000 swaps from token0_in (Total: 66000)
[2026-01-25T18:11:08.539+0000] {logging_mixin.py:188} INFO - [18:11:08] Fetched 1000 swaps from token0_in (Total: 67000)
[2026-01-25T18:11:10.740+0000] {logging_mixin.py:188} INFO - [18:11:10] Fetched 1000 swaps from token0_in (Total: 68000)
[2026-01-25T18:11:12.519+0000] {logging_mixin.py:188} INFO - [18:11:12] Fetched 1000 swaps from token0_in (Total: 69000)
[2026-01-25T18:11:13.958+0000] {logging_mixin.py:188} INFO - [18:11:13] Fetched 1000 swaps from token0_in (Total: 70000)
[2026-01-25T18:11:15.543+0000] {logging_mixin.py:188} INFO - [18:11:15] Fetched 1000 swaps from token0_in (Total: 71000)
[2026-01-25T18:11:17.905+0000] {logging_mixin.py:188} INFO - [18:11:17] Fetched 1000 swaps from token0_in (Total: 72000)
[2026-01-25T18:11:19.789+0000] {logging_mixin.py:188} INFO - [18:11:19] Fetched 1000 swaps from token0_in (Total: 73000)
[2026-01-25T18:11:21.345+0000] {logging_mixin.py:188} INFO - [18:11:21] Fetched 1000 swaps from token0_in (Total: 74000)
[2026-01-25T18:11:23.214+0000] {logging_mixin.py:188} INFO - [18:11:23] Fetched 1000 swaps from token0_in (Total: 75000)
[2026-01-25T18:11:24.834+0000] {logging_mixin.py:188} INFO - [18:11:24] Fetched 1000 swaps from token0_in (Total: 76000)
[2026-01-25T18:11:26.458+0000] {logging_mixin.py:188} INFO - [18:11:26] Fetched 1000 swaps from token0_in (Total: 77000)
[2026-01-25T18:11:28.202+0000] {logging_mixin.py:188} INFO - [18:11:28] Fetched 1000 swaps from token0_in (Total: 78000)
[2026-01-25T18:11:29.798+0000] {logging_mixin.py:188} INFO - [18:11:29] Fetched 1000 swaps from token0_in (Total: 79000)
[2026-01-25T18:11:31.615+0000] {logging_mixin.py:188} INFO - [18:11:31] Fetched 1000 swaps from token0_in (Total: 80000)
[2026-01-25T18:11:33.161+0000] {logging_mixin.py:188} INFO - [18:11:33] Fetched 1000 swaps from token0_in (Total: 81000)
[2026-01-25T18:11:35.604+0000] {logging_mixin.py:188} INFO - [18:11:35] Fetched 1000 swaps from token0_in (Total: 82000)
[2026-01-25T18:11:36.758+0000] {logging_mixin.py:188} INFO - [18:11:36] Fetched 1000 swaps from token0_in (Total: 83000)
[2026-01-25T18:11:38.356+0000] {logging_mixin.py:188} INFO - [18:11:38] Fetched 1000 swaps from token0_in (Total: 84000)
[2026-01-25T18:11:40.064+0000] {logging_mixin.py:188} INFO - [18:11:40] Fetched 1000 swaps from token0_in (Total: 85000)
[2026-01-25T18:11:42.019+0000] {logging_mixin.py:188} INFO - [18:11:42] Fetched 1000 swaps from token0_in (Total: 86000)
[2026-01-25T18:11:43.747+0000] {logging_mixin.py:188} INFO - [18:11:43] Fetched 1000 swaps from token0_in (Total: 87000)
[2026-01-25T18:11:45.624+0000] {logging_mixin.py:188} INFO - [18:11:45] Fetched 1000 swaps from token0_in (Total: 88000)
[2026-01-25T18:11:47.547+0000] {logging_mixin.py:188} INFO - [18:11:47] Fetched 1000 swaps from token0_in (Total: 89000)
[2026-01-25T18:11:49.399+0000] {logging_mixin.py:188} INFO - [18:11:49] Fetched 1000 swaps from token0_in (Total: 90000)
[2026-01-25T18:11:51.100+0000] {logging_mixin.py:188} INFO - [18:11:51] Fetched 1000 swaps from token0_in (Total: 91000)
[2026-01-25T18:11:53.260+0000] {logging_mixin.py:188} INFO - [18:11:53] Fetched 1000 swaps from token0_in (Total: 92000)
[2026-01-25T18:11:54.716+0000] {logging_mixin.py:188} INFO - [18:11:54] Fetched 1000 swaps from token0_in (Total: 93000)
[2026-01-25T18:11:56.592+0000] {logging_mixin.py:188} INFO - [18:11:56] Fetched 1000 swaps from token0_in (Total: 94000)
[2026-01-25T18:11:58.912+0000] {logging_mixin.py:188} INFO - [18:11:58] Fetched 1000 swaps from token0_in (Total: 95000)
[2026-01-25T18:12:00.365+0000] {logging_mixin.py:188} INFO - [18:12:00] Fetched 1000 swaps from token0_in (Total: 96000)
[2026-01-25T18:12:02.374+0000] {logging_mixin.py:188} INFO - [18:12:02] Fetched 1000 swaps from token0_in (Total: 97000)
[2026-01-25T18:12:04.680+0000] {logging_mixin.py:188} INFO - [18:12:04] Fetched 1000 swaps from token0_in (Total: 98000)
[2026-01-25T18:12:06.821+0000] {logging_mixin.py:188} INFO - [18:12:06] Fetched 1000 swaps from token0_in (Total: 99000)
[2026-01-25T18:12:08.358+0000] {logging_mixin.py:188} INFO - [18:12:08] Fetched 1000 swaps from token0_in (Total: 100000)
[2026-01-25T18:12:10.168+0000] {logging_mixin.py:188} INFO - [18:12:10] Fetched 1000 swaps from token0_in (Total: 101000)
[2026-01-25T18:12:11.978+0000] {logging_mixin.py:188} INFO - [18:12:11] Fetched 1000 swaps from token0_in (Total: 102000)
[2026-01-25T18:12:13.868+0000] {logging_mixin.py:188} INFO - [18:12:13] Fetched 1000 swaps from token0_in (Total: 103000)
[2026-01-25T18:12:15.682+0000] {logging_mixin.py:188} INFO - [18:12:15] Fetched 1000 swaps from token0_in (Total: 104000)
[2026-01-25T18:12:17.804+0000] {logging_mixin.py:188} INFO - [18:12:17] Fetched 1000 swaps from token0_in (Total: 105000)
[2026-01-25T18:12:19.195+0000] {logging_mixin.py:188} INFO - [18:12:19] Fetched 1000 swaps from token0_in (Total: 106000)
[2026-01-25T18:12:20.999+0000] {logging_mixin.py:188} INFO - [18:12:20] Fetched 1000 swaps from token0_in (Total: 107000)
[2026-01-25T18:12:23.093+0000] {logging_mixin.py:188} INFO - [18:12:23] Fetched 1000 swaps from token0_in (Total: 108000)
[2026-01-25T18:12:24.866+0000] {logging_mixin.py:188} INFO - [18:12:24] Fetched 1000 swaps from token0_in (Total: 109000)
[2026-01-25T18:12:27.187+0000] {logging_mixin.py:188} INFO - [18:12:27] Fetched 1000 swaps from token0_in (Total: 110000)
[2026-01-25T18:12:28.868+0000] {logging_mixin.py:188} INFO - [18:12:28] Fetched 1000 swaps from token0_in (Total: 111000)
[2026-01-25T18:12:30.790+0000] {logging_mixin.py:188} INFO - [18:12:30] Fetched 1000 swaps from token0_in (Total: 112000)
[2026-01-25T18:12:33.182+0000] {logging_mixin.py:188} INFO - [18:12:33] Fetched 1000 swaps from token0_in (Total: 113000)
[2026-01-25T18:12:35.791+0000] {logging_mixin.py:188} INFO - [18:12:35] Fetched 1000 swaps from token0_in (Total: 114000)
[2026-01-25T18:12:37.794+0000] {logging_mixin.py:188} INFO - [18:12:37] Fetched 1000 swaps from token0_in (Total: 115000)
[2026-01-25T18:12:40.161+0000] {logging_mixin.py:188} INFO - [18:12:40] Fetched 1000 swaps from token0_in (Total: 116000)
[2026-01-25T18:12:41.995+0000] {logging_mixin.py:188} INFO - [18:12:41] Fetched 1000 swaps from token0_in (Total: 117000)
[2026-01-25T18:12:43.864+0000] {logging_mixin.py:188} INFO - [18:12:43] Fetched 1000 swaps from token0_in (Total: 118000)
[2026-01-25T18:12:45.987+0000] {logging_mixin.py:188} INFO - [18:12:45] Fetched 1000 swaps from token0_in (Total: 119000)
[2026-01-25T18:12:47.773+0000] {logging_mixin.py:188} INFO - [18:12:47] Fetched 1000 swaps from token0_in (Total: 120000)
[2026-01-25T18:12:49.681+0000] {logging_mixin.py:188} INFO - [18:12:49] Fetched 1000 swaps from token0_in (Total: 121000)
[2026-01-25T18:12:51.532+0000] {logging_mixin.py:188} INFO - [18:12:51] Fetched 1000 swaps from token0_in (Total: 122000)
[2026-01-25T18:12:53.180+0000] {logging_mixin.py:188} INFO - [18:12:53] Fetched 1000 swaps from token0_in (Total: 123000)
[2026-01-25T18:12:54.853+0000] {logging_mixin.py:188} INFO - [18:12:54] Fetched 1000 swaps from token0_in (Total: 124000)
[2026-01-25T18:12:57.041+0000] {logging_mixin.py:188} INFO - [18:12:57] Fetched 1000 swaps from token0_in (Total: 125000)
[2026-01-25T18:12:59.209+0000] {logging_mixin.py:188} INFO - [18:12:59] Fetched 1000 swaps from token0_in (Total: 126000)
[2026-01-25T18:13:00.905+0000] {logging_mixin.py:188} INFO - [18:13:00] Fetched 1000 swaps from token0_in (Total: 127000)
[2026-01-25T18:13:02.849+0000] {logging_mixin.py:188} INFO - [18:13:02] Fetched 1000 swaps from token0_in (Total: 128000)
[2026-01-25T18:13:04.600+0000] {logging_mixin.py:188} INFO - [18:13:04] Fetched 1000 swaps from token0_in (Total: 129000)
[2026-01-25T18:13:06.391+0000] {logging_mixin.py:188} INFO - [18:13:06] Fetched 1000 swaps from token0_in (Total: 130000)
[2026-01-25T18:13:08.353+0000] {logging_mixin.py:188} INFO - [18:13:08] Fetched 1000 swaps from token0_in (Total: 131000)
[2026-01-25T18:13:10.796+0000] {logging_mixin.py:188} INFO - [18:13:10] Fetched 1000 swaps from token0_in (Total: 132000)
[2026-01-25T18:13:12.886+0000] {logging_mixin.py:188} INFO - [18:13:12] Fetched 1000 swaps from token0_in (Total: 133000)
[2026-01-25T18:13:14.857+0000] {logging_mixin.py:188} INFO - [18:13:14] Fetched 1000 swaps from token0_in (Total: 134000)
[2026-01-25T18:13:17.119+0000] {logging_mixin.py:188} INFO - [18:13:17] Fetched 1000 swaps from token0_in (Total: 135000)
[2026-01-25T18:13:18.927+0000] {logging_mixin.py:188} INFO - [18:13:18] Fetched 1000 swaps from token0_in (Total: 136000)
[2026-01-25T18:13:20.799+0000] {logging_mixin.py:188} INFO - [18:13:20] Fetched 1000 swaps from token0_in (Total: 137000)
[2026-01-25T18:13:23.075+0000] {logging_mixin.py:188} INFO - [18:13:23] Fetched 1000 swaps from token0_in (Total: 138000)
[2026-01-25T18:13:25.057+0000] {logging_mixin.py:188} INFO - [18:13:25] Fetched 1000 swaps from token0_in (Total: 139000)
[2026-01-25T18:13:27.149+0000] {logging_mixin.py:188} INFO - [18:13:27] Fetched 1000 swaps from token0_in (Total: 140000)
[2026-01-25T18:13:29.269+0000] {logging_mixin.py:188} INFO - [18:13:29] Fetched 1000 swaps from token0_in (Total: 141000)
[2026-01-25T18:13:31.029+0000] {logging_mixin.py:188} INFO - [18:13:31] Fetched 1000 swaps from token0_in (Total: 142000)
[2026-01-25T18:13:33.249+0000] {logging_mixin.py:188} INFO - [18:13:33] Fetched 1000 swaps from token0_in (Total: 143000)
[2026-01-25T18:13:35.480+0000] {logging_mixin.py:188} INFO - [18:13:35] Fetched 1000 swaps from token0_in (Total: 144000)
[2026-01-25T18:13:37.286+0000] {logging_mixin.py:188} INFO - [18:13:37] Fetched 1000 swaps from token0_in (Total: 145000)
[2026-01-25T18:13:39.358+0000] {logging_mixin.py:188} INFO - [18:13:39] Fetched 1000 swaps from token0_in (Total: 146000)
[2026-01-25T18:13:41.781+0000] {logging_mixin.py:188} INFO - [18:13:41] Fetched 1000 swaps from token0_in (Total: 147000)
[2026-01-25T18:13:42.975+0000] {logging_mixin.py:188} INFO - [18:13:42] Fetched 1000 swaps from token0_in (Total: 148000)
[2026-01-25T18:13:44.873+0000] {logging_mixin.py:188} INFO - [18:13:44] Fetched 1000 swaps from token0_in (Total: 149000)
[2026-01-25T18:13:46.912+0000] {logging_mixin.py:188} INFO - [18:13:46] Fetched 1000 swaps from token0_in (Total: 150000)
[2026-01-25T18:13:48.823+0000] {logging_mixin.py:188} INFO - [18:13:48] Fetched 1000 swaps from token0_in (Total: 151000)
[2026-01-25T18:13:50.803+0000] {logging_mixin.py:188} INFO - [18:13:50] Fetched 1000 swaps from token0_in (Total: 152000)
[2026-01-25T18:13:53.150+0000] {logging_mixin.py:188} INFO - [18:13:53] Fetched 1000 swaps from token0_in (Total: 153000)
[2026-01-25T18:13:55.178+0000] {logging_mixin.py:188} INFO - [18:13:55] Fetched 1000 swaps from token0_in (Total: 154000)
[2026-01-25T18:13:59.076+0000] {logging_mixin.py:188} INFO - [18:13:59] Fetched 1000 swaps from token0_in (Total: 155000)
[2026-01-25T18:14:01.903+0000] {logging_mixin.py:188} INFO - [18:14:01] Fetched 1000 swaps from token0_in (Total: 156000)
[2026-01-25T18:14:04.327+0000] {logging_mixin.py:188} INFO - [18:14:04] Fetched 1000 swaps from token0_in (Total: 157000)
[2026-01-25T18:14:06.245+0000] {logging_mixin.py:188} INFO - [18:14:06] Fetched 1000 swaps from token0_in (Total: 158000)
[2026-01-25T18:14:08.092+0000] {logging_mixin.py:188} INFO - [18:14:08] Fetched 1000 swaps from token0_in (Total: 159000)
[2026-01-25T18:14:09.927+0000] {logging_mixin.py:188} INFO - [18:14:09] Fetched 1000 swaps from token0_in (Total: 160000)
[2026-01-25T18:14:11.780+0000] {logging_mixin.py:188} INFO - [18:14:11] Fetched 1000 swaps from token0_in (Total: 161000)
[2026-01-25T18:14:14.090+0000] {logging_mixin.py:188} INFO - [18:14:14] Fetched 1000 swaps from token0_in (Total: 162000)
[2026-01-25T18:14:15.865+0000] {logging_mixin.py:188} INFO - [18:14:15] Fetched 1000 swaps from token0_in (Total: 163000)
[2026-01-25T18:14:18.347+0000] {logging_mixin.py:188} INFO - [18:14:18] Fetched 1000 swaps from token0_in (Total: 164000)
[2026-01-25T18:14:21.008+0000] {logging_mixin.py:188} INFO - [18:14:20] Fetched 1000 swaps from token0_in (Total: 165000)
[2026-01-25T18:14:23.511+0000] {logging_mixin.py:188} INFO - [18:14:23] Fetched 1000 swaps from token0_in (Total: 166000)
[2026-01-25T18:14:25.856+0000] {logging_mixin.py:188} INFO - [18:14:25] Fetched 1000 swaps from token0_in (Total: 167000)
[2026-01-25T18:14:28.554+0000] {logging_mixin.py:188} INFO - [18:14:28] Fetched 1000 swaps from token0_in (Total: 168000)
[2026-01-25T18:14:30.374+0000] {logging_mixin.py:188} INFO - [18:14:30] Fetched 1000 swaps from token0_in (Total: 169000)
[2026-01-25T18:14:32.409+0000] {logging_mixin.py:188} INFO - [18:14:32] Fetched 1000 swaps from token0_in (Total: 170000)
[2026-01-25T18:14:34.540+0000] {logging_mixin.py:188} INFO - [18:14:34] Fetched 1000 swaps from token0_in (Total: 171000)
[2026-01-25T18:14:36.524+0000] {logging_mixin.py:188} INFO - [18:14:36] Fetched 1000 swaps from token0_in (Total: 172000)
[2026-01-25T18:14:38.666+0000] {logging_mixin.py:188} INFO - [18:14:38] Fetched 1000 swaps from token0_in (Total: 173000)
[2026-01-25T18:14:40.929+0000] {logging_mixin.py:188} INFO - [18:14:40] Fetched 1000 swaps from token0_in (Total: 174000)
[2026-01-25T18:14:42.718+0000] {logging_mixin.py:188} INFO - [18:14:42] Fetched 1000 swaps from token0_in (Total: 175000)
[2026-01-25T18:14:44.717+0000] {logging_mixin.py:188} INFO - [18:14:44] Fetched 1000 swaps from token0_in (Total: 176000)
[2026-01-25T18:14:46.562+0000] {logging_mixin.py:188} INFO - [18:14:46] Fetched 1000 swaps from token0_in (Total: 177000)
[2026-01-25T18:14:48.532+0000] {logging_mixin.py:188} INFO - [18:14:48] Fetched 1000 swaps from token0_in (Total: 178000)
[2026-01-25T18:14:50.959+0000] {logging_mixin.py:188} INFO - [18:14:50] Fetched 1000 swaps from token0_in (Total: 179000)
[2026-01-25T18:14:52.880+0000] {logging_mixin.py:188} INFO - [18:14:52] Fetched 1000 swaps from token0_in (Total: 180000)
